"id","name","number_servings","calories","carbs","fats","proteins","category","image"
"44","Fennel and Celery Salad ( Dama Bianca )","6","265.31","9.75","21.2","10.56","7",NULL
"45","Carrots with Shallots, Sage, and Thyme","8","129.1","17.89","6.32","2.11","7","https://storage.googleapis.com/image-food/images/45408_simmyras_4fbbbd7c-df1d-437a-a28d-afe67e785c22.png"
"46","Ice Cream with Roasted Grapes and Walnut Oil","4","421.41","39.62","27.69","5.85","3","https://storage.googleapis.com/image-food/images/45361_simmyras_04b1d2e5-1146-4895-87a3-5d064889ffd7.png"
"47","Fennel-Potato Soup with Smoked Salmon","8","139.54","20.65","5.08","4.27","10","https://storage.googleapis.com/image-food/images/56949_simmyras_27c1449f-41b4-474a-a1a7-bc3331534540.png"
"48","Pork Chops with Tarragon Sauce and Cornichons","4","407.66","6.08","24.19","40.37","5","https://storage.googleapis.com/image-food/images/57100_simmyras_19e476e4-5467-4ebb-a2db-e13a5e33fbfb.png"
"49","Faux Meat Balls","8","135.77","13.44","5.2","8.25","11",NULL
"50","Potato Tacos","12","272.45","42.87","8.18","8.45","1",NULL
"51","Mushroom Burgers","6","65.22","9.64","1.45","4.6","8","https://storage.googleapis.com/image-food/images/57102_HillOK444_d4108aa0-c19b-43ad-ae1a-0e474a2f095b.png"
"52","Roasted Chickpea Gyros","4","341.13","55.21","9.5","13.34","11","https://storage.googleapis.com/image-food/images/370698_bxtrm_59fa85ba-77cb-4e84-b13a-54fd94cbda27.png"
"53","Lemon, Kale & Bean Stew","4","294.86","53.29","4.18","15.21","10","https://storage.googleapis.com/image-food/images/372321_erin_m_d8af8c94-6d66-49a5-b7c8-14134e014428.png"
"54","Vegan Beet & Ginger Fritters","2","261.13","35.62","11.72","5.1","11","https://storage.googleapis.com/image-food/images/344009_rebekahhuskins_188e818f-308b-4cba-9d2f-87d1b5f93214.png"
"55","Oven Fried Garlic Parmesan Green Beans","4","143.57","6.78","10.64","6.69","11","https://storage.googleapis.com/image-food/images/371524_ldementhon_1da1ac60-da73-4795-b11e-6fcf3235f9cb.png"
"56","Baked Tofu Fries","2","267.72","4.74","20.05","22.54","11","https://storage.googleapis.com/image-food/images/344157_erin_m_2a948676-652e-4600-9352-86b3063f67a3.png"
"57","Persian Herb Frittata","6","135.92","3.6","10.37","7.42","11","https://storage.googleapis.com/image-food/images/251458_amallah_d666c859-d121-4b25-91d7-18a37ad153d2.png"
"58","Crunchy Fennel Salad","2","553.68","33.02","48.59","6.15","11","https://storage.googleapis.com/image-food/images/383743_jjax42_ea0e35fa-337f-4d18-a9d9-f1a9b11a051b.png"
"59","Low Carb Lettuce Burger","4","741.24","14.24","53.62","50.25","8","https://storage.googleapis.com/image-food/images/280315_mscree_9434428c-cee3-4bff-a861-c2f551a450cf.png"
"60","4-Ingredient Chocolate Oatmeal No-Bake Cookies","10","106.75","11.75","6.04","2.48","3","https://storage.googleapis.com/image-food/images/906793_simmyras_cefa7195-9305-4e65-8ab1-753857ed9b12.png"
"61","Smoked Salmon, Brie, and Cucumber Bites","1","209.76","3.91","11.63","22.1","11","https://storage.googleapis.com/image-food/images/906786_elm333_f5917aec-69de-434e-b59b-6cc9a1054bd3.jpg"
"62","Eggs, Cheese, and Mushroom Omelet","1","357.08","2.74","26.05","27.29","2","https://storage.googleapis.com/image-food/images/906809_simmyras_6fbbc109-4fdf-4423-8bb9-c687f9780c59.png"
"63","Sesame and Peanut Noodles","4","268.91","27.68","15.52","9.35","9","https://storage.googleapis.com/image-food/images/227697_jcguenth_cc893d4c-249e-471c-9de6-ba72827ba48e.png"
"64","Cheesy Egg Muffins","6","119.16","3.51","7.91","8.17","2","https://storage.googleapis.com/image-food/images/230742_meempster_6a0e3a0b-b752-4873-b8b5-b10b9c390dc2.png"
"65","Sweet Potato Hash","1","303.68","32.33","14.78","11.42","11","https://storage.googleapis.com/image-food/images/924615_tabitharwheeler_733cddb8-e207-44b5-95ac-05a942b98a9b.jpg"
"66","Overnight Oats In A Jar","1","222.17","45.81","3.98","4.82","2","https://storage.googleapis.com/image-food/images/924555_ren1half_e2852cad-5a85-43f2-9bc7-bf9fa9178b48.jpg"
"67","Chocolate Chia Seed Pudding","1","482.61","19.65","44.04","8.39","11","https://storage.googleapis.com/image-food/images/300988_breakdancingcat_587f3efc-11a1-421e-9b2e-d3183f70af3e.png"
"68","Peach Raspberry Smoothie","1","333.2","27.73","17.75","16.03","4","https://storage.googleapis.com/image-food/images/933700_simmyras_78f7f5b5-6e94-4465-ae14-68071bdbc71a.png"
"69","Blueberry, Banana, and Strawberry Smoothie","1","372.76","77.31","5.26","11.05","6","https://storage.googleapis.com/image-food/images/933725_monika.kaliton_e8754cd0-4bcc-4ad2-a0a5-cbc6d8173b4c.jpg"
"70","Chicken with Sun-Dried Tomato Cream Sauce","8","321.32","2.67","26.52","17.82","5","https://storage.googleapis.com/image-food/images/210671_mmhinton_639e3f34-bb55-4aa3-a53b-a4f3e1be87ad.png"
"71","Breakfast Taquitos","5","369.41","28.54","21.31","17.88","2","https://storage.googleapis.com/image-food/images/953995_ldementhon_49c4efc5-9c08-42fa-aaec-5e19a2b8ed2d.jpg"
"72","Sweet Potato Turkey Shepherd's Pie","6","285.05","33.69","7.82","20.43","11","https://storage.googleapis.com/image-food/images/971422_elm333_1520e1e9-6bab-4895-9855-3128490c0b39.jpg"
"73","Tomatoes, Eggs, and Chorizo","1","725.38","20.37","53.92","41.33","11","https://storage.googleapis.com/image-food/images/322312_Dannyboyni_256d3f99-075e-40bd-87c1-24718fc4c49c.png"
"74","Grilled Lemongrass Beef","4","230.31","3.38","13.91","22.12","5","https://storage.googleapis.com/image-food/images/320982_classic89_1c8aada7-abc7-4d92-9c1c-996098bc06f0.png"
"75","Vegan Oatmeal Pancakes","6","242.05","32.11","11.23","6.65","2","https://storage.googleapis.com/image-food/images/307203_csherryd_339741a7-81c4-471f-adb5-f8938de2752f.png"
"76","Creamy Cauliflower Mash with Spinach","2","206.84","25.41","9.91","10.4","11","https://storage.googleapis.com/image-food/images/311821_amusedmonkey_64c8417f-269d-4571-b0ba-2d971e8d2910.png"
"77","Turkey Meatballs in Coconut Curry Sauce and Basmati Rice","5","601.6","36.48","33.16","41.38","11","https://storage.googleapis.com/image-food/images/312042_YuetingLee_98f7e80e-affd-4f82-aed8-5cd25c26de6d.png"
"78","Italian Baked Eggs","3","355.65","17.91","19.56","27.46","2","https://storage.googleapis.com/image-food/images/319840_bbebber_264298c6-9d0d-4c9a-a96d-7956c515fdf5.png"
"79","Kale spinach feta pie","6","202.06","9.57","14.06","11.19","11","https://storage.googleapis.com/image-food/images/319468_jthomson84_76f8a6c4-4ddc-4785-b9aa-6bb7cbe10c4e.png"
"80","Baked Ratatouille with Havarti Cheese","4","214.07","25.77","10.47","10.09","11","https://storage.googleapis.com/image-food/images/311822_amusedmonkey_eaf5e7ea-682a-4b7b-bb4c-4bd83d6adc11.png"
"81","Slow Cooker Sloppy Black Eyed Peas","6","187.29","35.03","3.16","7.49","11",NULL
"82","Roasted Cauliflower with Red Pepper Hummus","6","227.87","20.28","14.19","6.6","11",NULL
"83","Spinach, Black Bean, and Banana Smoothie","1","380.1","63.95","9.32","19.54","6",NULL
"84","Green Bean Stir Fry","6","97.48","18.02","2.67","3.58","11","https://storage.googleapis.com/image-food/images/1014260_SYPCoach1_4730030f-afaf-42db-a8ad-965e0b5984de.jpg"
"85","Sugar Free Fudge","16","81.05","3.37","6.23","2.74","3","https://storage.googleapis.com/image-food/images/1015936_Fabian17_e0739416-a7c8-4c33-acb9-4111d6132922.jpeg"
"86","Zucchini, Black Bean and Rice Skillet","4","580.11","108.59","5.66","26.67","11","https://storage.googleapis.com/image-food/images/1496446_plantkitten_e7e0efa3-c55f-4977-a949-688cddb5f7d9.jpg"
"87","Veggie Stir-Fry","4","76.26","13.8","1.64","2.86","11",NULL
"88","Sun-Dried Tomato & Lentil Salad","3","201.64","26.85","7.19","9.13","7","https://storage.googleapis.com/image-food/images/1304973_NevineBaligh_c926d62d-65f3-41f2-8bf4-b88d1e5b01b2.jpg"
"89","Baked Banana Oatmeal Cups with Blueberries","4","155.59","35.07","1.74","3.69","2",NULL
"90","Salmon en Papillote","2","274.47","14.04","14.42","24.12","5","https://storage.googleapis.com/image-food/images/228580_hirschkron_a993c33a-ee4a-4a31-8d90-1418b977cc08.png"
"91","Slow Cooker Pulled Pork","8","541.33","33.56","31.04","29.81","8","https://storage.googleapis.com/image-food/images/3186680_elm333_d4b7e1f4-e127-45de-be00-090a245b5845.jpg"
"92","Blueberry Pomegranate Dressing","4","152.22","18.34","8.19","3.51","11","https://storage.googleapis.com/image-food/images/222167_scotjohns_81d492c2-ddfb-4e84-bd36-678141708392.png"
"93","Egg and Lettuce Salad","2","258.97","6.04","17.36","18.04","7","https://storage.googleapis.com/image-food/images/921884_tabitharwheeler_fb9dce68-5f15-4264-8caf-df93cdf5d013.jpg"
"94","Sopressata Sandwich","1","699.37","55.66","39.93","32.19","8","https://storage.googleapis.com/image-food/images/321014_classic89_4c311171-3b7a-40af-b814-a3c50d5c876b.png"
"95","Skinny Mexican Chicken and Brown Rice Casserole","4","549.9","71.72","16.97","31.31","11","https://storage.googleapis.com/image-food/images/328491_amusedmonkey_18be473d-7faa-4490-b62c-991df5042fce.png"
"96","Chickpea Salad Sandwich","2","355.63","48.17","12.16","15.47","8","https://storage.googleapis.com/image-food/images/321008_classic89_e91cc951-ad85-4042-9ab1-ef36cd9aa8a0.png"
"97","English Paleo Muffins","1","289.11","9.14","21.25","18.08","11","https://storage.googleapis.com/image-food/images/971356_Fabian17_856372c3-5706-471e-9a83-27566d68a49e.jpeg"
"98","Lasagna Zucchini Boats","4","409.96","10.44","23.93","38.39","11","https://storage.googleapis.com/image-food/images/335607_missvictoria07_44f886b0-a4cc-4b79-beae-9f52eac1e526.png"
"99","Coriander and Lemon Crusted Fish with Asparagus Salad & Poached Egg","4","280.56","6.59","14.5","32.72","11","https://storage.googleapis.com/image-food/images/998166_simmyras_b98d5275-884a-45f4-a613-643923ebf615.png"
"100","Roast Pumpkin Frittata","1","579.74","26.96","39.89","31.57","2","https://storage.googleapis.com/image-food/images/338808_SabsDegs_434dd156-272b-48a5-91ab-fb6671c336c0.png"
"101","Sliced Baguette with Radishes and Anchovy Butter","16","246.89","36.66","7.33","8.79","8","https://storage.googleapis.com/image-food/images/45384_dreamsoul_bb1e225c-adbe-40cc-a5fe-b5d0b6617336.png"
"102","Mushroom Carpaccio with Pecorino Toscano","8","163.24","2.12","12.5","11.04","1","https://storage.googleapis.com/image-food/images/45363_erin_m_3eca9662-6b7a-41e7-9783-4452f2ed9acc.png"
"103","Creamy spinach","4","34.97","3.16","1.96","2.11","11","https://storage.googleapis.com/image-food/images/45360_erin_m_66fc88f6-ca08-41ec-aea0-050a7c4d19f5.png"
"104","Avocado Pie","8","229.18","22.02","13.92","4.96","1","https://storage.googleapis.com/image-food/images/45311_Shamarie84_eaf22e13-dc64-4f62-9f23-e2a3161c9539.png"
"105","Papaya Salsa","4","133.27","33.79","0.67","1.68","11","https://storage.googleapis.com/image-food/images/45307_rosierainbows_058cc3ad-df85-4261-8efc-632656d3a30c.png"
"106","Lime Avocado Milkshake","2","319.07","31.08","18.42","9.06","4","https://storage.googleapis.com/image-food/images/372157_alexisonzen_f73be74e-8b32-4440-b60a-ba0e59bde872.png"
"107","Yogurt with Papaya","1","193.93","23.32","1.25","23.76","11","https://storage.googleapis.com/image-food/images/905530_Shamarie84_577991a1-32ae-446f-807f-322c262edbbf.png"
"108","Honey and Oat Granola","6","231.9","38.89","9.41","1.61","11","https://storage.googleapis.com/image-food/images/355138_abbygraceg_f5ac254f-6be6-421c-84e2-992159b1db56.png"
"109","Honey-Rosemary Lamb Sandwich","6","636.31","53.37","33.29","31.76","8","https://storage.googleapis.com/image-food/images/3496642_ldementhon_6bfedf8c-e43c-44fd-ad53-39073fc9df0c.jpg"
"110","Peanut Butter and Tomato Toast","1","280.52","23.7","17.22","12.18","1","https://storage.googleapis.com/image-food/images/39232_XoAimskeyXo95_b013514e-b68a-48a1-822a-942507829531.jpg"
"111","Pumpkin Pie Oatmeal","1","277.81","62.08","2.45","8.51","2","https://storage.googleapis.com/image-food/images/326095_CarolinaCarvajal_4ae3281f-ee5e-433b-8870-aa65049593e1.png"
"112","Panko Parmesan Crusted Chicken with Wasabi Tomato Sauce","12","225.98","19.25","5.82","23.24","5","https://storage.googleapis.com/image-food/images/225910_DouglasTyler_e3edbadf-6b51-4866-bb9e-4a428e78dd9f.png"
"113","Healthy Beef Vegetable Quinoa Stew","8","305.85","28.52","14.38","18","5","https://storage.googleapis.com/image-food/images/289938_amusedmonkey_001a4b02-3f73-4b6c-a088-11eb55d882e8.png"
"114","Paleo Pancakes","1","182.93","29.41","5.19","7.66","2","https://storage.googleapis.com/image-food/images/924577_tabitharwheeler_73b20f2f-7e03-421a-bf34-bd822c59dc97.jpg"
"115","Chicken Parmesan","4","748.42","62.46","21.2","72.17","5","https://storage.googleapis.com/image-food/images/386738_tabitharwheeler_4aebf0a4-4d55-4968-a27b-12fe9e7f51e5.jpg"
"116","Cheesy-Crust Skillet Pizza","2","767.73","9.8","50.51","67.42","11","https://storage.googleapis.com/image-food/images/1488039_pridfore_20ffef25-945b-48ac-a811-9781e59c2772.jpg"
"117","Chocolate, Almond, and Banana Parfaits","4","543","78.12","23.42","12.61","3",NULL
"118","Grilled Chicken with Edamame Skordalia","4","403.34","7.51","26.04","35.07","5","https://storage.googleapis.com/image-food/images/45433_simmyras_1d50b9a9-7e03-44a1-9bf3-c8a5096e0ba4.png"
"119","Wasabi Salmon with Bok Choy, Green Cabbage, and Shiitakes","4","784.49","24.45","36.97","90.83","5","https://storage.googleapis.com/image-food/images/45452_Sportpowerpro_d20b4eae-0dd7-4964-b678-e527b8f0f217.png"
"120","Moroccan Chicken with Green Olives and Lemon","4","294","13.24","11.52","37.8","5","https://storage.googleapis.com/image-food/images/45462_erin_m_739b03a7-9126-4983-bbb6-1bdeff985211.png"
"121","Pasta-Shell Risotto with Broccoli Rabe","6","384.51","51.89","13.76","15.03","9",NULL
"122","Asian Honey Chicken","4","690.14","65.09","33.35","33.8","5","https://storage.googleapis.com/image-food/images/56909_erin_m_2efaa3f0-6a0f-4e24-a50a-6a12214209c3.png"
"123","Soba Noodles & Coconut Curry","4","571.18","54.42","35.76","18.61","9","https://storage.googleapis.com/image-food/images/56737_elm333_e909c22c-5cfc-4184-ac60-657a8e42efb2.jpg"
"124","Ham Wrapped Asparagus","2","327.52","9.25","23.3","21.4","1","https://storage.googleapis.com/image-food/images/56744_tabitharwheeler_63ee4c24-4a9c-4ab5-9b05-6fa90c0e6ea3.jpg"
"125","Sausage And Cheese Breakfast Cups","6","151.79","4.65","9.99","10.75","2","https://storage.googleapis.com/image-food/images/209450_erin_m_96807140-bbd2-45f2-8048-7a393eb12cc2.png"
"126","Cucumber and Poppy Seed Salad","4","110.16","12.88","5.99","1.85","7","https://storage.googleapis.com/image-food/images/210087_erin_m_68460ace-5810-42ea-b0a6-956d27191609.png"
"127","Maple Salmon","2","626.77","55.47","14.04","67.23","5","https://storage.googleapis.com/image-food/images/209061_rooomnoises_b0a7222c-caf4-42f2-ba84-32184f6485f4.png"
"128","Italian Vegetable Soup II","8","141.14","28.21","1.36","7.87","10","https://storage.googleapis.com/image-food/images/209489_erin_m_057ce027-59e4-4a20-b417-44286eb837ec.png"
"129","Onion Carrot And Ginger Soup","8","48.6","8.42","0.78","2.72","10","https://storage.googleapis.com/image-food/images/209439_amusedmonkey_d1cbc7e3-212c-4356-a470-665bcfdddc18.png"
"130","Tuna-Stuffed Tomato","1","270.93","13.53","4.54","45.69","11","https://storage.googleapis.com/image-food/images/332543_oksana49_e17a12f5-5a64-4edf-95e5-0b3707f697a3.png"
"131","Truffle Popcorn","1","173.88","19.36","9.48","4.53","11","https://storage.googleapis.com/image-food/images/334878_JoeOcho_d29e2288-08db-4fa9-99ba-a929192f80e3.png"
"132","Keto Beef Stroganoff Soup","6","457.05","8.47","33","32.59","10","https://storage.googleapis.com/image-food/images/390263_erin_m_50192f07-3553-4de5-9f2e-c37287ac4c0f.png"
"133","Cheesy Baked Zucchini Noodle Casserole","6","398.01","19.61","25.67","24.43","11","https://storage.googleapis.com/image-food/images/390296_erin_m_d12e909a-eae1-498c-8c95-efdc1df863e2.png"
"134","Baked Seafood Stuffed Avocados","4","540.91","20.41","42.18","26.06","11","https://storage.googleapis.com/image-food/images/390740_erin_m_11094712-ba5d-4c9b-b0ad-278907f8d1e5.png"
"135","Keto Crock Pot Clam Chowder","6","345.34","6.16","34.38","4.48","10","https://storage.googleapis.com/image-food/images/390988_erin_m_da12298f-f805-4885-9553-85543cc6dc1b.png"
"136","Keto Garlic Chicken Soup","4","304.93","2.62","25.66","16.22","10","https://storage.googleapis.com/image-food/images/390951_erin_m_0c90fc83-e5e0-4843-a723-37b8674a7dd0.png"
"137","Spicy Crock Pot Chili Pepper Chicken","6","269.22","6.93","13.18","31.12","5","https://storage.googleapis.com/image-food/images/417277_WendyKearns_c60d8f0d-1437-4290-aca5-bc3e17b65238.jpg"
"138","Broccoli, Cheddar & Quinoa Gratin","6","370.28","27.87","22.07","15.98","11","https://storage.googleapis.com/image-food/images/415898_elm333_50c00d8f-3077-46b7-b048-3ca5a72f949d.jpg"
"139","Crock Pot Beef & Eggplant Casserole","8","413.98","9.6","29.3","28.13","11","https://storage.googleapis.com/image-food/images/415511_elm333_f5847760-2ebb-4705-a0d4-b25bfa463162.jpg"
"140","Jamaican Steam Cabbage","6","133.51","21.49","4.79","3.41","11",NULL
"141","Cream cheese and pastrami with relish","4","373.53","61.35","6.75","17.58","11",NULL
"142","Carrot Beet Juice","1","131.48","33.71","0.89","3.61","11","https://storage.googleapis.com/image-food/images/854483_Shamarie84_84de1aa7-c6ac-4795-998d-b7208ffe2c3a.png"
"143","Watermelon Juice Recipe","2","96.25","24.72","0.47","1.97","11","https://storage.googleapis.com/image-food/images/854541_Shamarie84_45b61cdb-ddfc-43dd-bf1f-6c366caf07a5.png"
"144","Avocado, Strawberry, and Spinach Salad","1","327.44","27.45","24.55","7.86","7","https://storage.googleapis.com/image-food/images/265602_defiledxhalo_29893c43-adc8-41e2-80b8-3c01374bfd48.png"
"145","Hummus and Beets on Rye","1","158.53","26.19","4.35","7.37","8",NULL
"146","Orange, Banana, and Grape Smoothie","2","137.06","34.03","0.44","1.75","4","https://storage.googleapis.com/image-food/images/905717_Shamarie84_89192684-d534-4410-9356-192b36951545.png"
"147","Carrot and Orange Juice","2","80.81","19.37","0.38","1.76","4","https://storage.googleapis.com/image-food/images/905995_simmyras_af9bf6f6-4a58-41a2-810d-ae14157c8372.png"
"148","Asian Salmon in Foil","4","524.62","20.09","21.98","59.34","5","https://storage.googleapis.com/image-food/images/281889_Fizzbit_0ce1b739-6371-4930-acbe-82b776961800.png"
"149","Vegan Breakfast Burritos","4","340.05","48.08","10.01","17.32","11","https://storage.googleapis.com/image-food/images/906693_elm333_9e84b1e7-5f73-43cf-a8f6-0e086590e6e0.jpg"
"150","Sour Cream and Parsley Mashed Potatoes","4","308.23","48.56","10.05","7.48","1","https://storage.googleapis.com/image-food/images/906675_VamperZ_bb2e7fc6-c3e6-454e-ba75-9bf8ce5e81a0.jpg"
"151","Vegan Breakfast Potatoes","4","182.82","27.48","7.24","3.31","2","https://storage.googleapis.com/image-food/images/259214_bmxpmp_48d25b89-65c9-4f0f-bd13-411cd6d7d1ac.png"
"152","Tossed Tomatoes, Cucumber, and Red Peppers","4","82.02","17.69","0.62","3.27","7",NULL
"153","Blueberry, Spinach, and Yolk Protein Smoothie","4","112.09","8.43","5.04","8.9","6","https://storage.googleapis.com/image-food/images/907125_Shamarie84_3dd44cd5-3498-472f-9314-adb994e1623c.png"
"154","Avocado and Egg Toast","1","645.4","41.92","45.34","23.51","11","https://storage.googleapis.com/image-food/images/907094_Shamarie84_db39ffde-2279-4949-9732-785140d840e7.png"
